Test Case Name;Objective;Precondition;Test Steps;Expected Result
"[SISTEMA A] Recebimento de Pix - Pix liquidado com sucesso (PF Corrente Ativa por Chave)";"Cobrir par PF+Corrente; Ativa+Chave (liquida)";"Conta PF Corrente status ATIVA; Chave Pix válida do recebedor";"Montar payload; Enviar para fila Bacen; Validar tabelas X,Y,M,Z; Validar XML Pix Bacen; Validar saldo atualizado";"Pix LIQUIDADO; Registros consistentes; XML válido; Saldo atualizado"
"[SISTEMA A] Recebimento de Pix - Pix liquidado com sucesso (PJ Poupança Inativa por Dados Bancários)";"Cobrir par PJ+Poupança; Inativa+Dados bancários (liquida)";"Conta PJ Poupança status INATIVA; Dados bancários válidos";"Montar payload; Enviar para fila Bacen; Validar X,Y,M,Z; Validar XML; Validar saldo";"Pix LIQUIDADO; Registros consistentes; XML válido; Saldo atualizado"
"[SISTEMA A] Recebimento de Pix - Pix liquidado com sucesso (PF Poupança Crise por QR Code Estático)";"Cobrir par PF+Poupança; Crise+QR estático (liquida)";"Conta PF Poupança status CRISE; QR Code estático válido";"Montar payload; Enviar para fila Bacen; Validar X,Y,M,Z; Validar XML; Validar saldo";"Pix LIQUIDADO; Registros consistentes; XML válido; Saldo atualizado"
"[SISTEMA A] Recebimento de Pix - Pix liquidado com sucesso (PJ Corrente Transformada por QR Dinâmico Imediato)";"Cobrir par PJ+Corrente; Transformada+QR dinâmico imediato (liquida)";"Conta PJ Corrente status TRANSFORMADA; QR dinâmico imediato válido";"Montar payload; Enviar para fila Bacen; Validar X,Y,M,Z; Validar XML; Validar saldo";"Pix LIQUIDADO; Registros consistentes; XML válido; Saldo atualizado"
"[SISTEMA A] Recebimento de Pix - Pix cancelado (Conta Encerrada)";"Validar cancelamento para status Encerrada";"Conta PF ou PJ status ENCERRADA";"Montar payload; Enviar para fila Bacen; Validar status CANCELADO na tabela X; Validar ausência de crédito em Y/M; Validar pacs Z";"Pix CANCELADO; Saldo inalterado"
"[SISTEMA A] Recebimento de Pix - Pix cancelado (Conta Salário)";"Validar cancelamento para conta Salário";"Conta PF tipo SALÁRIO em qualquer status";"Montar payload; Enviar para fila Bacen; Validar cancelamento; Validar ausência de crédito";"Pix CANCELADO; Não liquidou; Saldo inalterado"
"[SISTEMA A] Recebimento de Pix - Pix liquidado com sucesso (QR Estático Saque com registro)";"Validar saque via QR estático";"Conta Corrente/Poupança status permitido; QR estático saque válido";"Montar payload; Enviar para fila Bacen; Validar X,Y,M,Z; Validar XML; Validar tabela SAQUE";"Pix LIQUIDADO; SAQUE registrado; Saldo atualizado"
"[SISTEMA A] Recebimento de Pix - Pix liquidado com sucesso (Dinâmico Troco com registro de saque e troco)";"Validar troco via QR dinâmico";"Conta Corrente/Poupança status permitido; QR dinâmico troco válido";"Montar payload; Enviar para fila Bacen; Validar X,Y,M,Z; Validar XML; Validar tabelas SAQUE e TROCO";"Pix LIQUIDADO; SAQUE e TROCO registrados; Saldo atualizado"
"[SISTEMA A] Recebimento de Pix - Pix liquidado com sucesso (Dinâmico com Vencimento)";"Validar cobrança dinâmica com vencimento";"Conta Corrente/Poupança status permitido; Cobrança válida";"Montar payload; Enviar para fila Bacen; Validar X,Y,M,Z; Validar XML; Validar saldo";"Pix LIQUIDADO; Registros consistentes; XML válido; Saldo atualizado"
"[SISTEMA A] Recebimento de Pix - Pix liquidado com sucesso (COBR Dinâmico)";"Validar recebimento via COBR dinâmico";"Conta Corrente/Poupança status permitido; COBR válida";"Montar payload; Enviar para fila Bacen; Validar X,Y,M,Z; Validar XML; Validar saldo";"Pix LIQUIDADO; Registros consistentes; XML válido; Saldo atualizado"
